"castid","repoid","target","source","qltag","link","value"
"1497808",1396,"DelaunayNode","Node","Cast","https://lgtm.com/projects/g/geotools/geotools/snapshot/dist-34400114-1524814812150/files/modules/extension/graph/src/main/java/org/geotools/graph/util/delaunay/DelaunayTriangulator.java?#L430","#Family,@src"
"3635388",3647,"UDPNIOTransport","NIOTransport","Cast","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/bundles/core/src/main/java/org/glassfish/grizzly/nio/transport/UDPNIOTransport.java?#L706","?BrokenLink"
"5694456",5506,"CashFlowReport","Object","RefCast","https://lgtm.com/projects/g/OpenGamma/Strata/snapshot/dist-33160019-1524814812150/files/modules/report/src/main/java/com/opengamma/strata/report/cashflow/CashFlowReport.java?#L193","#Equals:GetClass,@src"
"358184",378,"GraphQLObjectType","GraphQLType","SearchOrFilterByType","https://lgtm.com/projects/g/graphql-java/graphql-java/snapshot/dist-5980018-1524814812150/files/src/main/java/graphql/schema/SchemaUtil.java?#L186","#GuardByInstanceOf:single,@src"
"7873064",6842,"DocumentEntry","Entry","Cast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/src/testcases/org/apache/poi/poifs/filesystem/TestNPOIFSFileSystem.java?#L1477","#LookupById,@test"
"6893522",6525,"IProject","IResource","ClassFamily","https://lgtm.com/projects/g/gwt-plugins/gwt-eclipse-plugin/snapshot/dist-2037250884-1524814812150/files/plugins/com.gwtplugins.gdt.eclipse.suite/src/com/google/gdt/eclipse/suite/ProjectMigrator.java?#L68","#Factory,@src"
"1109437",1161,"Symbol","Object","ObjectInCollection","https://lgtm.com/projects/g/eclipse/pdt/snapshot/dist-19313119-1524814812150/files/plugins/org.eclipse.php.core/src/org/eclipse/php/internal/core/ast/scanner/php72/PHPAstParser.java?#L8719","#UseRawType,@gen"
"6000423",5826,"DomainMetaObject","DomainMetaObject_Base","RefCast","https://lgtm.com/projects/g/FenixEdu/bennu/snapshot/dist-14150010-1524814812150/files/bennu-test/target/generated-test-sources/dml-maven-plugin/pt/ist/fenixframework/DomainMetaObject_Base.java?#L101","#SoleSubclassImplementation,@gen"
"7002370",6701,"DocBlock","DocElement","RefCast","https://lgtm.com/projects/g/asakusafw/asakusafw/snapshot/dist-15070007-1524814812150/files/utils-project/javadoc-parser/src/main/java/com/asakusafw/utils/java/parser/javadoc/JavadocConverter.java?#L107","#KnownReturnType#Family,@src"
"5399509",5294,"EAttribute","EStructuralFeature","Cast","https://lgtm.com/projects/g/opensourceBIM/BIMserver/snapshot/dist-44770082-1524814812150/files/PluginBase/generated/org/bimserver/models/ifc2x3tc1/impl/Ifc2x3tc1PackageImpl.java?#L24589","#LookupById,@gen"
"459314",479,"short","int","SearchOrFilterByType","https://lgtm.com/projects/g/martinpaljak/AppletPlayground/snapshot/dist-1793850250-1524814812150/files/src/com/btchip/applet/poc/Ripemd160.java?#L125","#Numeric,@gen"
"1928951",1703,"Criteria","GeneratedCriteria","Cast","https://lgtm.com/projects/g/mybatis/generator/snapshot/dist-1795450430-1524814812150/files/core/mybatis-generator-systests-mybatis3/target/generated-sources/mybatis-generator/mbg/test/mb3/generated/mixed/conditional/model/AwfulTableExample.java?#L424","#FluentAPI,@gen"
"404542",416,"short","int","Redundant","https://lgtm.com/projects/g/debrief/debrief/snapshot/dist-22620014-1524814812150/files/org.mwc.debrief.dis/src/edu/nps/moves/dis/IffFundamentalData.java?#L181","#Numeric,@src"
"6869747",6523,"ConsumerId","DataStructure","CovariantReturn","https://lgtm.com/projects/g/mmosemmle/activemq_20155254/snapshot/dist-1506125586028-1524814812150/files/activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v4/MessageAckMarshaller.java?#L71","#Deserialization,@gen"
"7964008",6857,"int","Integer","RefCast","https://lgtm.com/projects/g/apache/hadoop/snapshot/dist-956730001-1524814812150/files/hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/net/TestDFSNetworkTopology.java?#L132","#SelectOverload#Unboxing,@test"
"8291184",6901,"DBExpr","DBOrderByExpr","Cast","https://lgtm.com/projects/g/apache/empire-db/snapshot/dist-6780308-1524814812150/files/empire-db/src/main/java/org/apache/empire/db/DBCommand.java?#L1048","#LookupById,@src"
"6974535",6651,"TransitionHistory","Object","RefCast","https://lgtm.com/projects/g/MenoData/Time4J/snapshot/dist-11000263-1524814812150/files/core/src/main/java/net/time4j/tz/SPX.java?#L259","#Deserialization:InputStream,@src"
"5582537",5465,"IConstructor","IValue","Cast","https://lgtm.com/projects/g/usethesource/rascal/snapshot/dist-1793391272-1524814812150/files/src/org/rascalmpl/library/lang/rascal/syntax/RascalParser.java?#L4101","#Factory,@gen"
"8638606",7159,"PsiField","PsiElement","Cast","https://lgtm.com/projects/g/mplushnikov/lombok-intellij-plugin/snapshot/dist-35850057-1524814812150/files/src/main/java/de/plushnikov/intellij/plugin/extension/LombokFieldFindUsagesHandlerFactory.java?#L50","?Duplicated"
"4657404",4429,"X509Certificate","Certificate","RefCast","https://lgtm.com/projects/g/bcgit/bc-java/snapshot/dist-20740003-1524814812150/files/test/src/main/java/org/bouncycastle/test/est/HttpResponder.java?#L276","#Factory,@src"
"6782025",6481,"byte","int","Cast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/spi/src/main/java/org/restcomm/media/spi/dtmf/DtmfTonesData.java?#L53","#Literal:IntToByteArray,@gen"
"5653709",5500,"PutDestinationPolicyResult","Object","RefCast","https://lgtm.com/projects/g/aws/aws-sdk-java/snapshot/dist-6950065-1524814812150/files/aws-java-sdk-logs/src/main/java/com/amazonaws/services/logs/model/PutDestinationPolicyResult.java?#L65","#Clone,@src"
"6275356",6138,"FieldDeclaration","Node","RefCast","https://lgtm.com/projects/g/javaparser/javaparser/snapshot/dist-16990024-1524814812150/files/javaparser-symbol-solver-core/src/main/java/com/github/javaparser/symbolsolver/javaparsermodel/JavaParserFactory.java?#L102","#GuardByInstanceOf:typecase,@src"
"2153479",1946,"ExpressionImpl<>","Expression<String>","RemoveTypeParameter","https://lgtm.com/projects/g/datanucleus/datanucleus-api-jpa/snapshot/dist-1972191630-1524814812150/files/src/main/java/org/datanucleus/api/jpa/criteria/CriteriaBuilderImpl.java?#L1298","#SoleSubclassImplementation,@src"
"6196629",6067,"byte","int","Cast","https://lgtm.com/projects/g/imagej/imagej-ops/snapshot/dist-1870058-1524814812150/files/src/test/java/net/imagej/ops/logic/ConditionalTest.java?#L50","#Literal:InvocationContext,@test"
"4847058",4715,"Way","OsmElement","InstanceOfGuarded","https://lgtm.com/projects/g/MarcusWolschon/osmeditor4android/snapshot/dist-2036440476-1524814812150/files/src/main/java/de/blau/android/util/Util.java?#L239","#GuardByInstanceOf:typecase,@src"
"7803634",6842,"SimpleValue","TypeStoreUser","Cast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/spreadsheetml/x2006/main/impl/CTSstImpl.java?#L391","#LookupById,@gen"
"997461",1161,"Symbol","Object","ObjectInCollection","https://lgtm.com/projects/g/eclipse/pdt/snapshot/dist-19313119-1524814812150/files/plugins/org.eclipse.php.core/src/org/eclipse/php/internal/core/ast/scanner/php53/PHPAstParser.java?#L6290","#UseRawType,@gen"
"884608",1017,"byte","char","PrimCast","https://lgtm.com/projects/g/broadinstitute/gatk/snapshot/dist-2030390457-1524814812150/files/src/test/java/org/broadinstitute/hellbender/utils/read/AlignmentUtilsUnitTest.java?#L569","#Literal,@src"
"7071209",6764,"EnumerableTableScan","Object","ArgumentCheck","https://lgtm.com/projects/g/apache/calcite/snapshot/dist-21860106-1524814812150/files/core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableScan.java?#L94","#Equals:InstanceOf,@src"
"5134445",5043,"Prescription","Object","Redundant","https://lgtm.com/projects/g/elexis/elexis-3-core/snapshot/dist-26050192-1524814812150/files/ch.elexis.core.ui/src/ch/elexis/core/ui/views/RezepteView.java?#L383","#Factory,@src"
"1636585",1396,"BoundingBox","ReferencedEnvelope","Redundant","https://lgtm.com/projects/g/geotools/geotools/snapshot/dist-34400114-1524814812150/files/modules/plugin/imageio-ext-gdal/src/main/java/org/geotools/coverageio/RasterLayerRequest.java?#L846","#ImplicitIntersectionType,@src"
"3519397",3647,"ServerHttpRequestImpl","HttpHeader","RefCast","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/extras/bundles/grizzly-httpservice-bundle/src/main/java/org/glassfish/grizzly/http/HttpServerFilter.java?#L804","?BrokenLink"
"2307580",2128,"WithThrowType","Message","RefCast","https://lgtm.com/projects/g/Grover-c13/PokeGOAPI-Java/snapshot/dist-2041290324-1524814812150/files/library/build/generated/source/proto/main/java/POGOProtos/Data/Quests/QuestConditionOuterClass.java?#L4743","#GuardByInstanceOf:single,@gen"
"4030815",3726,"MethodDeclaration","ASTNode","RefCast","https://lgtm.com/projects/g/SpartanRefactoring/Main/snapshot/dist-2012620130-1524814812150/files/il.org.spartan.spartanizer-plugin/src/test/java/il/org/spartan/spartanizer/issues/Issue0717.java?#L69","#Factory,@test"
"7298604",6806,"IgniteCacheProxyImpl<>","IgniteCacheProxy<>","ClassFamily","https://lgtm.com/projects/g/apache/ignite/snapshot/dist-4930010-1524814812150/files/modules/core/src/main/java/org/apache/ignite/internal/processors/cache/CacheAffinitySharedManager.java?#L773","#LookupById,@src"
"6088513",5953,"byte","int","PrimCast","https://lgtm.com/projects/g/MovingBlocks/Terasology/snapshot/dist-21320490-1524814812150/files/engine/src/main/java/org/terasology/world/chunks/internal/ChunkImpl.java?#L182","#Numeric,@src"
"8651688",7182,"Entry<String,Object>","Entry<String,V>","Cast","https://lgtm.com/projects/g/linkedin/rest.li/snapshot/dist-15120158-1524814812150/files/data/src/main/java/com/linkedin/data/template/DirectMapTemplate.java?#L116","#CovariantGeneric,@src"
"7640878",6842,"CurveDocument","XmlObject","Cast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/com/microsoft/schemas/vml/CurveDocument.java?#L77","#Deserialization:Reader,@gen"
"6111339",6012,"DepartmentRoomFeature","Object","Cast","https://lgtm.com/projects/g/UniTime/unitime/snapshot/dist-22721873-1524814812150/files/target/src/org/unitime/timetable/action/RoomListAction.java?#L1846","?BrokenLink"
"336535",317,"ContentMetadataKeyHierarchyPage","Object","ExceptionForRethrow","https://lgtm.com/projects/g/googleads/googleads-java-lib/snapshot/dist-44920018-1524814812150/files/modules/dfp_axis/src/main/java/com/google/api/ads/dfp/axis/v201802/ContentMetadataKeyHierarchyServiceSoapBindingStub.java?#L742","#GetOrCreateByClassLiteral,@gen"
"6565551",6481,"byte","int","PrimCast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/alaw/EncoderData.java?#L5453","#Literal:IntToByteArray,@gen"
"5780834",5600,"Plugins","Object","Cast","https://lgtm.com/projects/g/adityasharad/lgtm-workshop/snapshot/dist-1505962666548-1524814812150/files/src/activemq/activemq-runtime-config/target/generated/src/main/java/org/apache/activemq/schema/core/DtoBrokerService.java?#L7067","#Equals:InstanceOf,@gen"
"2296272",2122,"ListUserOrganizationsRequest","Object","ArgumentCheck","https://lgtm.com/projects/g/cloudfoundry/cf-java-client/snapshot/dist-2038520517-1524814812150/files/cloudfoundry-client/target/generated-sources/annotations/org/cloudfoundry/client/v2/users/ListUserOrganizationsRequest.java?#L130","#Equals:InstanceOf,@src"
"5661233",5500,"DBSnapshotAttributesResult","Object","RefCast","https://lgtm.com/projects/g/aws/aws-sdk-java/snapshot/dist-6950065-1524814812150/files/aws-java-sdk-rds/src/main/java/com/amazonaws/services/rds/model/DBSnapshotAttributesResult.java?#L187","#Equals:InstanceOf,@src"
"8773910",7337,"String","Object","RefCast","https://lgtm.com/projects/g/aipocom/aipo/snapshot/dist-26670002-1524814812150/files/oms/src/main/java/com/aimluck/eip/cayenne/om/portlet/auto/_EipMAddressbookCompany.java?#L77","?BrokenLink"
"3372127",3540,"SoapuiProjectDocumentConfig","XmlObject","Redundant","https://lgtm.com/projects/g/SmartBear/soapui/snapshot/dist-1793321538-1524814812150/files/soapui/target/generated-sources/xmlbeans/com/eviware/soapui/config/SoapuiProjectDocumentConfig.java?#L92","#Deserialization,@gen"
"6369017",6289,"byte","int","PrimCast","https://lgtm.com/projects/g/aboutsip/pkts/snapshot/dist-24100024-1524814812150/files/pkts-core/src/test/java/io/pkts/RawData.java?#L403","#Literal,@gen"
"497980",514,"Color","Object","RefCast","https://lgtm.com/projects/g/xmindltd/xmind/snapshot/dist-1795220104-1524814812150/files/bundles/org.xmind.cathy/src/org/xmind/cathy/internal/dashboard/NewFileDashboardPage.java?#L124","#StaticResource,@src"
"7518177",6822,"TemplateObject","DataObject","ExceptionForRethrow","https://lgtm.com/projects/g/apache/cloudstack/snapshot/dist-14050053-1524814812150/files/engine/storage/image/src/main/java/org/apache/cloudstack/storage/image/TemplateServiceImpl.java?#L1063","#Deserialization,@src"
"1633201",1396,"CoordinateAxis1D","CoordinateAxis","Cast","https://lgtm.com/projects/g/geotools/geotools/snapshot/dist-34400114-1524814812150/files/modules/plugin/coverage-multidim/netcdf/src/test/java/org/geotools/coverage/io/netcdf/CoordinateVariableTest.java?#L383","#Factory,@test"
"6267366",6132,"String","Object","RefCast","https://lgtm.com/projects/g/jl24pereira/hefesto/snapshot/dist-1505796346172-1524814812150/files/data/src/main/java/com/pereira/hefesto/database/tables/records/EmpleadoRecord.java?#L63","?BrokenLink"
"3123277",3230,"Entry<>","Object","ObjectInCollection","https://lgtm.com/projects/g/pentaho/pentaho-platform/snapshot/dist-1505889966157-1524814812150/files/core/src/main/java/org/pentaho/platform/engine/core/system/SimpleMapCacheManager.java?#L206","#UseRawType,@src"
"3496757",3636,"IWebContext","IContext","InstanceOfGuarded","https://lgtm.com/projects/g/thymeleaf/thymeleaf/snapshot/dist-43350026-1524814812150/files/src/main/java/org/thymeleaf/context/StandardEngineContextFactory.java?#L76","#GuardByInstanceOf:single,@src"
"6432839",6399,"byte","char","PrimCast","https://lgtm.com/projects/g/arpruss/raspberryjammod/snapshot/dist-1796220064-1524814812150/files/build/sources/java/org/java_websocket/util/Base64.java?#L224","#Literal,@src"
"4982358",4930,"IBlock","Object","ObjectInCollection","https://lgtm.com/projects/g/gosu-lang/gosu-lang/snapshot/dist-1970880123-1524814812150/files/gosu-test/src/test/java/gw/internal/gosu/compiler/featureliteral/BootstrapFeatureLiteralTest.java?#L38","#Factory,@test"
"1261571",1161,"Object","Object","RefCast","https://lgtm.com/projects/g/eclipse/pdt/snapshot/dist-19313119-1524814812150/files/plugins/org.eclipse.php.core/src/org/eclipse/php/internal/core/compiler/ast/parser/php72/CompilerAstParser.java?#L8969","#Redundant,@gen"
"3925885",3647,"StaticHttpHandlerBase","HttpHandler","Cast","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/http-servlet/src/main/java/org/glassfish/grizzly/servlet/WebappContext.java?#L1923","?BrokenLink"
"5118046",4998,"ItemDocument","EntityDocument","ClassFamily","https://lgtm.com/projects/g/Wikidata/Wikidata-Toolkit/snapshot/dist-60170083-1524814812150/files/wdtk-wikibaseapi/src/main/java/org/wikidata/wdtk/wikibaseapi/WikibaseDataEditor.java?#L216","#Deserialization,@src"
"284272",317,"BiddableAdGroupCriterion","AdGroupCriterion","SearchOrFilterByType","https://lgtm.com/projects/g/googleads/googleads-java-lib/snapshot/dist-44920018-1524814812150/files/modules/adwords_axis/src/main/java/com/google/api/ads/adwords/axis/utils/v201710/shopping/ProductPartitionTreeImpl.java?#L640","#GuardByInstanceOf,@src"
"5723608",5552,"HasDependencies","Provider<? extends ? extends T>","Cast","https://lgtm.com/projects/g/sonatype/sisu-guice/snapshot/dist-1860010280-1524814812150/files/core/test/com/google/inject/spi/ElementsTest.java?#L462","#Factory,@test"
"3235061",3325,"Drawable","Object","Cast","https://lgtm.com/projects/g/Etar-Group/Etar-Calendar/snapshot/dist-2034690313-1524814812150/files/src/com/android/calendar/ContactsAsyncHelper.java?#L163","#Deserialization,@src"
"7139202",6767,"FunctionStatusList","Object","InstanceOfGuarded","https://lgtm.com/projects/g/apache/incubator-pulsar/snapshot/dist-1506177377755-1524814812150/files/pulsar-functions/proto/target/generated-sources/protobuf/java/org/apache/pulsar/functions/proto/InstanceCommunication.java?#L3206","#Equals:InstanceOf,@gen"
"2126680",1918,"Point","Geometry","LookupByTypeTag","https://lgtm.com/projects/g/Esri/geometry-api-java/snapshot/dist-28620007-1524814812150/files/src/main/java/com/esri/core/geometry/OperatorCentroid2DLocal.java?#L40","#GuardByTypeTag,@src"
"4516590",4297,"SparseBitSet","Object","Cast","https://lgtm.com/projects/g/wala/WALA/snapshot/dist-2032290482-1524814812150/files/com.ibm.wala.core.testdata/temp.folder/JLex/Main.java?#L7705","#Clone,@src"
"2731448",2667,"JSONTreeListener","ParseTreeListener","InstanceOfGuarded","https://lgtm.com/projects/g/WantedTechnologies/xpresso/snapshot/dist-36490211-1524814812150/files/src/main/java/com/wantedtech/common/xpresso/json/JSONTreeParser.java?#L540","#GuardByInstanceOf:single,@src"
"3894953",3647,"StandaloneProcessor","Processor<>","ClassFamily","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/grizzly/src/test/java/org/glassfish/grizzly/memory/ByteBufferStreamsTest.java?#L1262","?BrokenLink"
"7679866",6842,"CTColors","XmlObject","RefCast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/drawingml/x2006/diagram/CTColors.java?#L412","#Deserialization,@gen"
"2665579",2532,"byte","int","PrimCast","https://lgtm.com/projects/g/grails/grails-core/snapshot/dist-23442757-1524814812150/files/grails-core/src/main/groovy/org/grails/asm/TypePath.java?#L162","#Numeric,@src"
"2313811",2128,"GetRaidDetailsMessage","MessageLite","Cast","https://lgtm.com/projects/g/Grover-c13/PokeGOAPI-Java/snapshot/dist-2041290324-1524814812150/files/library/build/generated/source/proto/main/java/POGOProtos/Networking/Requests/Messages/GetRaidDetailsMessageOuterClass.java?#L643","#Factory,@gen"
"2745857",2681,"EasyRecyclerView","View","Cast","https://lgtm.com/projects/g/seven332/EhViewer/snapshot/dist-1868340425-1524814812150/files/app/src/main/java/com/hippo/ehviewer/ui/scene/DownloadLabelsScene.java?#L99","#StaticResource,@src"
"1461438",1347,"List<Mutation>","Object","Cast","https://lgtm.com/projects/g/larsgeorge/hbase-book/snapshot/dist-1798110731-1524814812150/files/ch06/src/main/java/org/apache/hadoop/hbase/thrift/generated/BatchMutation.java?#L255","#GuardByTypeTag,@src"
"7132465",6767,"SimpleLoadManagerImpl","LoadManager","Cast","https://lgtm.com/projects/g/apache/incubator-pulsar/snapshot/dist-1506177377755-1524814812150/files/pulsar-broker/src/test/java/org/apache/pulsar/broker/loadbalance/SimpleLoadManagerImplTest.java?#L447","#SoleSubclassImplementation,@test"
"7155935",6777,"JmsConnection","Connection","RefCast","https://lgtm.com/projects/g/apache/qpid-jms/snapshot/dist-6880068-1524814812150/files/qpid-jms-client/src/test/java/org/apache/qpid/jms/JmsConnectionFactoryTest.java?#L276","#Factory,@test"
"3771640",3647,"NIOConnection","Connection<SocketAddress>","RefCast","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/bundles/http-servlet/src/main/java/org/glassfish/grizzly/nio/AbstractNIOAsyncQueueReader.java?#L103","?BrokenLink"
"3397142",3540,"TypeConfig","XmlObject","Redundant","https://lgtm.com/projects/g/SmartBear/soapui/snapshot/dist-1793321538-1524814812150/files/soapui/target/generated-sources/xmlbeans/com/eviware/soapui/inferredSchema/TypeConfig.java?#L36","#Deserialization,@gen"
"8353631",6966,"StartElement","XMLEvent","RefCast","https://lgtm.com/projects/g/dkpro/dkpro-core/snapshot/dist-24860038-1524814812150/files/dkpro-core-io-tiger-asl/src/main/java/de/tudarmstadt/ukp/dkpro/core/io/tiger/TigerXmlReader.java?#L537","#GuardByTypeTag,@src"
"5306502",5233,"long","int","PrimCast","https://lgtm.com/projects/g/vitalidze/traccar-web/snapshot/dist-7890110-1524814812150/files/src/main/java/org/traccar/web/server/reports/ReportDS.java?#L129","#Numeric,@src"
"2842983",2821,"PGConnectionPoolDataSource","ConnectionPoolDataSource","Cast","https://lgtm.com/projects/g/jbosstm/narayana/snapshot/dist-3970459-1524814812150/files/ArjunaJTA/jta/tests/classes/com/hp/mwtests/ts/jta/commitmarkable/PerformanceTestCommitMarkableResource.java?#L282","#VariableSupertype,@src"
"75313",170,"Object[]","Object","InstanceOfGuarded","https://lgtm.com/projects/g/javaclub/toolbox/snapshot/dist-1505889056241-1524814812150/files/src/main/java/com/github/javaclub/toolbox/util/ObjectUtil.java?#L202","#GuardByInstanceOf:DoubleTypecase,@src"
"5938402",5825,"CandidacyProcessDocumentUploadBean","Object","Cast","https://lgtm.com/projects/g/FenixEdu/fenixedu-academic/snapshot/dist-29270029-1524814812150/files/src/main/java/org/fenixedu/academic/domain/candidacyProcess/over23/Over23IndividualCandidacyProcess.java?#L433","#Family,@src"
"3347590",3540,"ParameterStyle","Object","Redundant","https://lgtm.com/projects/g/SmartBear/soapui/snapshot/dist-1793321538-1524814812150/files/soapui/src/main/java/com/eviware/soapui/impl/rest/panels/resource/RestParamsTableModel.java?#L150","#GuardByTypeTag,@src"
"6661238",6481,"byte","int","Cast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/ulaw/EncoderData.java?#L2955","#Literal:IntToByteArray,@gen"
"2319298",2128,"ExtensionRegistryLite","ExtensionRegistry","RefCast","https://lgtm.com/projects/g/Grover-c13/PokeGOAPI-Java/snapshot/dist-2041290324-1524814812150/files/library/build/generated/source/proto/main/java/POGOProtos/Networking/Responses/UseItemEggIncubatorResponseOuterClass.java?#L15","#Family,@gen"
"4704184",4521,"ByteString","Object","RefCast","https://lgtm.com/projects/g/operasoftware/operaprestodriver/snapshot/dist-1794190374-1524814812150/files/src/com/opera/core/systems/scope/protos/ScopeProtos.java?#L2740","#GuardByInstanceOf:single,@gen"
"8654997",7182,"PrimitiveDataSchema","DataSchema","RefCast","https://lgtm.com/projects/g/linkedin/rest.li/snapshot/dist-15120158-1524814812150/files/generator/src/main/java/com/linkedin/pegasus/generator/TemplateSpecGenerator.java?#L369","#GuardByInstanceOf:typecase,@src"
"365751",395,"Comparable<>","Object","RemoveTypeParameter","https://lgtm.com/projects/g/espertechinc/esper/snapshot/dist-24970002-1524814812150/files/esper/src/main/java/com/espertech/esper/epl/enummethod/eval/EnumMinMaxScalarForge.java?#L66","#UseRawType,@src"
"7896484",6846,"ReturnsArgumentAt","Answer<?>","Cast","https://lgtm.com/projects/g/apache/bahir-flink/snapshot/dist-1505777617149-1524814812150/files//semmle_data/maven_repo/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.jar/org/mockito/internal/stubbing/answers/AnswersValidator.java?#L34","?BrokenLink"
"1553896",1396,"String","<nulltype>","RefCast","https://lgtm.com/projects/g/geotools/geotools/snapshot/dist-34400114-1524814812150/files/modules/library/render/src/test/java/org/geotools/renderer/lite/gridcoverage2d/GradientColorMapGeneratorTest.java?#L164","?Duplicated"
"2648095",2484,"DTURule<TK>","Rule<TK>","RefCast","https://lgtm.com/projects/g/stanfordnlp/phrasal/snapshot/dist-31200120-1524814812150/files/src/edu/stanford/nlp/mt/decoder/util/DTUHypothesis.java?#L519","#GuardByInstanceOf:single,@src"
"522563",514,"ExecutionException","Throwable","RefCast","https://lgtm.com/projects/g/xmindltd/xmind/snapshot/dist-1795220104-1524814812150/files/bundles/org.xmind.ui.mindmap/src/org/xmind/ui/internal/handlers/CreateSheetFromTemplateHandler.java?#L85","#GuardByInstanceOf:SingleThrows,@src"
