"castid","repoid","target","source","qltag","link","value"
"1398298",1273,"IArtifactsNode","Object","RefCast","https://lgtm.com/projects/g/jboss-switchyard/tools/snapshot/dist-7890424-1524814812150/files/eclipse/plugins/org.switchyard.tools.ui/src/org/switchyard/tools/ui/explorer/SwitchYardExplorerLabelProvider.java?#L79","#GuardByInstanceOf:typecase,@src"
"5209000",5090,"UserDao","UserDao","RefCast","https://lgtm.com/projects/g/micromata/projectforge-webapp/snapshot/dist-51060024-1524814812150/files/src/main/java/org/projectforge/ldap/LdapLoginHandler.java?#L93","#GetOrCreateByClassLiteral,@src"
"7762196",6842,"CTRecord","XmlObject","Cast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/spreadsheetml/x2006/main/CTRecord.java?#L403","#Deserialization:XMLInputStream,@gen"
"6403613",6317,"NameIDType","BaseIDAbstractType","Testing","https://lgtm.com/projects/g/keycloak/keycloak/snapshot/dist-7900299-1524814812150/files/services/src/test/java/org/keycloak/test/broker/saml/SAMLDataMarshallerTest.java?#L84","#Deserialization:SAMLDataMarshaller,@test"
"317131",317,"String","Object","SearchOrFilterByType","https://lgtm.com/projects/g/googleads/googleads-java-lib/snapshot/dist-44920018-1524814812150/files/modules/dfp_axis/src/main/java/com/google/api/ads/dfp/axis/v201708/CustomTargetingServiceSoapBindingStub.java?#L799","#UseRawType,@src"
"6937621",6588,"Long","Object","Cast","https://lgtm.com/projects/g/MaJingchao/tomcat-study/snapshot/dist-1505960056375-1524814812150/files/apache-tomcat-8.0.36-src/java/org/apache/tomcat/websocket/WsRemoteEndpointImplBase.java?#L463","#GuardByInstanceOf:single,@src"
"8045282",6865,"PmdReport","Mojo","RefCast","https://lgtm.com/projects/g/apache/maven-plugins/snapshot/dist-22670001-1524814812150/files/maven-pmd-plugin/src/test/java/org/apache/maven/plugins/pmd/PmdReportTest.java?#L104","#Factory,@test"
"8629392",7145,"ImmutableNullableAttributes","Object","ArgumentCheck","https://lgtm.com/projects/g/immutables/immutables/snapshot/dist-43930039-1524814812150/files/value-fixture/target/generated-sources/annotations/org/immutables/fixture/nullable/ImmutableNullableAttributes.java?#L301","#Equals:InstanceOf,@src"
"3377137",3540,"XmlString","TypeStoreUser","Redundant","https://lgtm.com/projects/g/SmartBear/soapui/snapshot/dist-1793321538-1524814812150/files/soapui/target/generated-sources/xmlbeans/com/eviware/soapui/config/impl/AttachmentConfigImpl.java?#L710","#LookupById,@gen"
"1706961",1493,"Slider","ClickableComponent","RefCast","https://lgtm.com/projects/g/Maescool/Catacomb-Snatch/snapshot/dist-42880037-1524814812150/files/src/main/java/com/mojang/mojam/gui/AudioVideoMenu.java?#L222","#Factory,@src"
"1222851",1161,"Symbol","Object","RefCast","https://lgtm.com/projects/g/eclipse/pdt/snapshot/dist-19313119-1524814812150/files/plugins/org.eclipse.php.core/src/org/eclipse/php/internal/core/compiler/ast/parser/php7/CompilerAstParser.java?#L9688","#UseRawType,@gen"
"7990460",6857,"IOException","Exception","Redundant","https://lgtm.com/projects/g/apache/hadoop/snapshot/dist-956730001-1524814812150/files/hadoop-hdfs-project/hadoop-hdfs-httpfs/src/main/java/org/apache/hadoop/fs/http/client/HttpFSFileSystem.java?#L317","#GuardByInstanceOf:throws,@src"
